Dataset Name,Dataset Owner,User,Submission Latitude,Submission Longitude,Date Created,Record,Hawai'iSea Grant King Tides Photo Database,Location (tap arrow to input exact location) - Latitude,Location (tap arrow to input exact location) - Longitude,Share your image!,Island(s),Location Description,Orientation (check your compass!),Date,Time,Tell us something about your photo!,Photographer's Name,By uploading an image you irrevocably consent that it may be used for educational; research; outreach and promotional purposes; in any medium; in perpetuity.,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 03:49:13 GMT+0000 (UTC),821,,21.2942017,-157.8519286,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/22116770-bd8c-4690-ba78-d67c8c04f76d,O'ahu,alamoana beach park ewa end,W,1/1/70,17:46,Kings tide,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 03:35:44 GMT+0000 (UTC),820,,21.2936091,-157.8560005,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/3478a168-9b3a-4902-862a-e12f9c444bfc,O'ahu,kewalo basin boat harbor ,S,1/1/70,17:34,King tide 2017,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,flashfamily,21.28777522,-157.8461832,Sat May 27 2017 04:30:31 GMT+0000 (UTC),819,,21.28776549,-157.8461714,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0E930B2F-A83C-4ED8-A7E5-0F4362846525; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/970699EC-690C-4ADB-A693-EC67346D4776; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/C2CE4D3E-063C-4C5C-AE1E-617FB3ECBF40; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/C5CC8206-0B42-403C-8A99-6ABA9853A3A0,O'ahu,Ala Moana Beach 2 hours after high tide. Second day of King Tide,SW,5/26/17,18:28,beach flood after high tide,Flash Family,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 03:25:36 GMT+0000 (UTC),818,,21.2972498,-157.8634588,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/5513ac55-cfe1-4600-83d0-2d8ee4a913a7; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/a5e35119-3a95-40c9-924b-1bd3407b000e,O'ahu,Keawe Drainage outlet ,SW,1/1/70,17:24,Kings Tide 2017,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 04:25:56 GMT+0000 (UTC),817,,20.7290366,-156.450819,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0ad9ed87-02cd-4734-b0ec-c7fac22904d3,Maui,The cove,SE,1/1/70,18:20,,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 02:58:44 GMT+0000 (UTC),816,,21.3173701,-157.8772475,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/e6b13e7c-055d-4c8a-bc26-b2d9f430dbb7,O'ahu,pier 38 Nicos,W,1/1/70,16:58,Kings Tide near Nico's ,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 02:39:01 GMT+0000 (UTC),815,,21.3135532,-157.9202175,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/8d1ab3fc-c963-4908-823b-6ce21293e836,O'ahu,Keehi Lagoon facing Honolulu ,NE,1/1/70,16:38,King tide 2017,Takefuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 02:37:14 GMT+0000 (UTC),814,,21.3118091,-157.9201534,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/b6ba05b8-f1d0-4f09-9ec8-4960afec5ea4,O'ahu,Keehi Lagoon facing SW,SW,1/1/70,16:36,King tide 2017,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 02:31:41 GMT+0000 (UTC),813,,21.3166545,-157.915934,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0ec25314-ed9b-4b1d-8d9a-d113db132c05; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/c8896c31-7def-488d-99e1-58ccb7ffa552,O'ahu,Keehi lagoon looking NE and SW ,SW,1/1/70,16:31,king tide both directions ,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,cruzinda808,,,Sat May 27 2017 02:11:43 GMT+0000 (UTC),812,,21.3732148,-157.9355493,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/dfd4f58e-e126-4738-9aad-830302dde50f,O'ahu,Admirals Landing canoe hale,E,1/1/70,16:11,Kings Tide,TakeFuku,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,koukoutamba,21.27622847,-157.7599572,Sat May 27 2017 04:15:26 GMT+0000 (UTC),811,,21.27654088,-157.7599382,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/5916BDB4-7921-4078-8D7C-95218468D537,O'ahu,Wailupe Canoe Club,S,5/26/17,18:14,,,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,marika808,,,Sat May 27 2017 04:11:19 GMT+0000 (UTC),810,,21.2614229,-157.821257,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/7bd273cb-a21c-4e2f-878f-f59892a7b295,O'ahu,Elks Club ,S,1/1/70,18:10,,Rita,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,flashfamily,21.28386854,-157.8481722,Sat May 27 2017 04:09:27 GMT+0000 (UTC),809,,21.28390152,-157.8482257,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/00F78DB9-A975-4530-9781-CCF9CFF568B8; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/2C1E4817-3681-477B-B1EB-EC1B9EB02FC9; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/E3CA3046-0D53-4F0E-92E3-9582905222E7,O'ahu,Magic Island point facing Ewa,SW,5/26/17,18:07,Large south swell 2 hours after high tide. Second day of King Tide.,Flash Family,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 04:07:45 GMT+0000 (UTC),808,,20.7651017,-156.4584454,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/8f9c3235-ec97-4a67-a4bd-22db8240b423,Maui,by whale sanctuary; South Kihei road,N,1/1/70,18:07,,mnapier,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,nconvard,,,Sat May 27 2017 04:07:34 GMT+0000 (UTC),807,,21.2852202,-157.8392341,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/26a1c675-ff42-457c-a34c-371ec9cd2d6c,O'ahu,ala wai 800 row,NE,1/1/70,18:06,,nancy chanrl matker and breakwater ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 04:05:33 GMT+0000 (UTC),806,,20.7650008,-156.4583524,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/571c5a56-dd58-4319-b3f0-a8573299f24a,Maui,South Kihei road near whale sanctuary ,N,1/1/70,18:04,surf overriding beach ...swell just starting to hit,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,gene,,,Sat May 27 2017 04:04:54 GMT+0000 (UTC),805,,21.42787168,-157.7383237,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/19d60502-a702-417d-91c9-9528976062e0; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/24cc9ba5-0027-4a4c-a4fa-e023ed5c9149,O'ahu,kailua bay Hu,S,1/1/70,18:03, no significant tide,gene dashiell,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mauifishgirl,20.92864235,-156.6946913,Sat May 27 2017 04:03:58 GMT+0000 (UTC),804,,20.92864235,-156.6946913,,Maui,beach ,N,5/26/17,18:03,from black Rock,Ruth Massey ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mauifishgirl,20.92889888,-156.6942378,Sat May 27 2017 04:02:10 GMT+0000 (UTC),803,,20.9287711,-156.6942828,,Maui,black rock,N,5/26/17,18:01,beach at high tide,Ruth Massey ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,kenolio808,,,Sat May 27 2017 04:02:05 GMT+0000 (UTC),802,,21.282453,-157.8399327,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/69b74537-0800-4a1f-8b94-ce2598761118; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/dc0c5e22-deb3-42cb-a19c-9f27a148b232; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ea67cd7e-dc4a-443d-9d31-386f048008dc,O'ahu,front of ilikai,N,1/1/70,18:01,,kenolio808 ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,taramillerowens,20.78266438,-156.4633838,Sat May 27 2017 03:59:39 GMT+0000 (UTC),801,,20.78264112,-156.4635659,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/72DA901C-ABA5-40CB-9A81-47C4E8F5CD8D,Maui,South Kihei Road at Kihei beach condos,W,5/26/17,17:58,water in the road!,Tara,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 03:57:50 GMT+0000 (UTC),800,,20.7787586,-156.4605486,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/3b891437-35c6-4b0a-aebd-dc4ac0d71ceb,Maui,South Kihei road ,S,1/1/70,17:56,Dune erosion ,mnapier,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,kenolio808,,,Sat May 27 2017 03:57:46 GMT+0000 (UTC),799,,21.2834085,-157.8395135,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/69e521c2-30ed-4cda-97dc-9265a679e83d,O'ahu,front of ilikai,S,1/1/70,17:57,,kenolio808 ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,kenolio808,,,Sat May 27 2017 03:56:34 GMT+0000 (UTC),798,,21.281601,-157.841423,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/1ae78e86-15b1-42d9-bef9-09498c0cc550; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/22fdb713-0a84-4ed4-bb8b-0e898b2f2c9e; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/31f2ab2a-297d-453d-a6ae-2cacd0df3f8d; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/a438532e-2cce-4088-b9cc-787ac72245e3; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ac8378ef-33eb-4165-ac74-734238b2ef94; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ad9b71c4-1b7f-46bc-a103-73bfbc16cc67; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/b75f82be-2e25-40f5-a8c0-2f9a911573df; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/b88c321e-51f9-493a-812c-0140b18ac337; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/cdcc5c3a-7a33-4e0a-a1b2-ff3b47583caf; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ebb9d086-97d3-406e-8bf1-3886bc9cd6e2,O'ahu,front of ilikai,SW,1/1/70,17:55,front of ilikai,kenolio808 ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,nconvard,,,Sat May 27 2017 03:55:42 GMT+0000 (UTC),797,,21.283157,-157.8396067,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/f37a7ee7-8532-4438-91b9-68816c264230,O'ahu,A la As I marina to lagoon breakwater ,E,1/1/70,17:55,,Nancy ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,halia.kail,21.28160601,-157.8413272,Sat May 27 2017 03:55:40 GMT+0000 (UTC),796,,21.28158594,-157.8413851,,O'ahu,Alawai Marina,E,5/26/17,17:54,That is usually a beach but now the water is so high it crashes closer to the sidewalk,Hali'a Kailukaitis ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 03:54:36 GMT+0000 (UTC),795,,20.7787594,-156.4605493,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/c7d73ae9-a00a-4868-80dd-09cd619f91ef,Maui,South Kihei road ,N,1/1/70,17:53,looking north,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,halia.kail,21.28161695,-157.8413045,Sat May 27 2017 03:53:37 GMT+0000 (UTC),794,,21.28166121,-157.8413188,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/08E0ED25-3B6A-40EC-955E-41DE789CB658,O'ahu,Alawai Marina,SW,5/26/17,17:52,This is usually very shallow and farther forward it is usually sand you can walk on (dry and no water),Hali'a Kailukaitis ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,giguere,,,Sat May 27 2017 03:50:40 GMT+0000 (UTC),793,,21.3364792,-157.9078373,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0c4f210c-2f55-4fe9-8b42-edf2c97b11a3; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/a42f18f9-9290-4433-95de-ab7db1b4fd49,O'ahu,bridge at south end of HNL runway on Lagoon Drive ,E,1/1/70,17:49,,Thomas Giguere ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 03:44:14 GMT+0000 (UTC),792,,20.7825775,-156.4638398,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/eba9a51e-d742-4b19-b0f1-3cbc19ae21e3,Maui,South Kihei road near sudas,S,1/1/70,17:43,water in rd,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,halia.kail,21.28363213,-157.8424724,Sat May 27 2017 03:43:17 GMT+0000 (UTC),791,,21.28365212,-157.8424845,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/7606C666-D115-4FFA-A8B9-D8705F512122,O'ahu,Alawai Marina,N,5/26/17,17:42,My aunt and uncle own boats here and thy said they've never seen it this high. the doc isn't that high compared to the water now. ,Hali'a Kailukaitis ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 03:42:31 GMT+0000 (UTC),790,,20.7826784,-156.4639328,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/69ee9524-7e03-40f2-af6a-af43e338a604,Maui,South Kihei road ,S,1/1/70,17:41,Water flooding road through tributary ,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,flashfamily,21.28557627,-157.8449472,Sat May 27 2017 03:41:47 GMT+0000 (UTC),789,,21.28557782,-157.8449571,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/C3452E2A-A88A-4B50-A53B-D0BA2B0620C5; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/D637F0E4-C822-4EDB-AFAF-B2AE98233F53,O'ahu,Ala Wai Yacht Harbor,E,5/26/17,17:40,Ala Wai Yacht Harbor facing Diamond Head. 2nd day King Tide,Flash Family,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,giguere,,,Sat May 27 2017 03:40:28 GMT+0000 (UTC),788,,21.3230188,-157.8817557,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/2f85bb1d-49c4-4a71-9d9e-9f7dea7511ca; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/619b8a1b-c5d6-4caa-aceb-2a98f645889d,O'ahu,makai side of HNL.   Ajacent to Aircraft Rescue Fire Fighting  Station  #2,S,1/1/70,17:37,,Thomas Giguere,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,kenolio808,,,Sat May 27 2017 03:40:25 GMT+0000 (UTC),787,,21.2865174,-157.8460654,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/0c699a5d-9ddf-40d8-ab98-8c137263cf85; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/a32d61dc-2a81-4190-88c3-2be69ffd548e; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/ea9fef34-6b29-4075-b03e-f619d8990220,O'ahu,Ala Moana Beach ,SE,1/1/70,17:40,,kenolio808 ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,carolineb,20.72518892,-156.4494396,Sat May 27 2017 03:37:53 GMT+0000 (UTC),786,,20.72518988,-156.4494195,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/23E246B8-9937-4808-BD04-C270E9F4E261,Maui,Kihei; Charley Young Beach,E,5/26/17,17:36,,CarolineB,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,marika808,,,Sat May 27 2017 03:36:12 GMT+0000 (UTC),785,,21.2848446,-157.8400258,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/8ac63b27-73e0-4bf5-afde-2efec2a41090,O'ahu,Hilton Hawaiian village ,S,1/1/70,17:36,,Rita,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,mrmahi,,,Sat May 27 2017 03:35:07 GMT+0000 (UTC),784,,20.7499429,-156.4548647,,Maui,along North Kihei road,SE,1/1/70,17:33,tide up to and past turtle fence,mnapier ,,
Hawai'i and Pacific Islands King Tides Project (HI Sea Grant),gonserm,marika808,,,Sat May 27 2017 03:35:06 GMT+0000 (UTC),783,,21.2818275,-157.8417572,https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/1f844b8a-4d5a-4ed7-954a-1d8ed78b1b09; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/9d92542d-4dca-47f5-84df-6507c77a3b4d; https://s3.amazonaws.com/liquid-uploads/iKqdTenhq6tgzQpa3/de0688fb-6726-445a-844d-078c12fa8666,O'ahu,Hilton Hawaiian village ,S,1/1/70,17:34,,Rita,,
